Object Name,Step Count,Gripper Close Count,Success,Smallest Distance
Banana,43,37,True,0.2570567151136492
Banana,100,24,False,0.23836660906047158
Banana,60,28,True,0.2399353494544385
Banana,100,91,False,0.2897165713630497
Banana,35,1,True,0.24741298477164034
Banana,100,0,False,0.16559159346211563
Banana,31,1,True,0.2252717185137487
Banana,11,1,True,0.25428560322002947
Banana,100,80,False,0.28439424418510745
Banana,100,73,False,0.2788136978352394
PowerDrill,57,1,True,0.20470872026504233
PowerDrill,11,1,True,0.3376434289651353
PowerDrill,14,1,True,0.33607901778382515
PowerDrill,16,1,True,0.27620974495091666
PowerDrill,17,1,True,0.3328141845039538
PowerDrill,21,1,True,0.2747182774448844
PowerDrill,100,20,False,0.33385170710577255
PowerDrill,7,1,True,0.34121150328103905
PowerDrill,17,1,True,0.30344421330740734
PowerDrill,13,1,True,0.31666483404112467
Hammer,100,53,False,0.3117112157102882
Hammer,100,23,False,0.2902561530699905
Hammer,100,68,False,0.19902155326939108
Hammer,100,58,False,0.5070875817616345
Hammer,100,69,False,0.20160668457123704
Hammer,100,69,False,0.3741504744999687
Hammer,100,51,False,0.28106502404669775
Hammer,19,3,True,0.21410207746466475
Hammer,100,79,False,0.32026452589392185
Hammer,100,48,False,0.3917161781639224
GelatinBox,100,76,False,0.21194841324120567
GelatinBox,100,21,False,0.3044088228817728
GelatinBox,100,5,False,0.27284199723538166
GelatinBox,100,11,False,0.24296860196644227
GelatinBox,100,0,False,0.3992282220952892
GelatinBox,23,1,True,0.2437343722852433
GelatinBox,100,24,False,0.4779472621824286
GelatinBox,19,1,True,0.2733919002468992
GelatinBox,85,12,True,0.21692022058192076
GelatinBox,43,1,True,0.23707738620244442
ChipsCan,100,0,False,0.29179129743503324
ChipsCan,100,77,False,0.3138534364546688
ChipsCan,56,12,True,0.28509787239035816
ChipsCan,51,1,True,0.24043365670612052
ChipsCan,100,0,False,0.3257410360228842
ChipsCan,100,0,False,0.4360776243450755
ChipsCan,100,0,False,0.3305220372137549
ChipsCan,100,1,False,0.4640031914482159
ChipsCan,100,82,False,0.3476262151344268
ChipsCan,100,24,False,0.414181425904311
TomatoSoupCan,100,0,False,0.29456842189401056
TomatoSoupCan,100,33,False,0.2900364576645355
TomatoSoupCan,100,0,False,0.30978063736264516
TomatoSoupCan,100,72,False,0.43199579015354295
TomatoSoupCan,100,22,False,0.355283909062
TomatoSoupCan,100,36,False,0.28751001384086167
TomatoSoupCan,100,44,False,0.2382237610268546
TomatoSoupCan,100,40,False,0.29557140117257114
TomatoSoupCan,100,31,False,0.21345831954022781
TomatoSoupCan,100,39,False,0.21171448443895216
Strawberry,100,35,False,0.20628675826620138
Strawberry,100,0,False,0.47206945263802647
Strawberry,100,3,False,0.2302018281515082
Strawberry,100,0,False,0.4366180809644206
Strawberry,100,41,False,0.3560485917178559
Strawberry,100,41,False,0.18468145761002658
Strawberry,100,0,False,0.4322072226935071
Strawberry,100,51,False,0.4947974445328246
Strawberry,100,0,False,0.42597481434375706
Strawberry,100,3,False,0.33388985286060996
CrackerBox,13,1,True,0.3383506255706723
CrackerBox,100,19,False,0.3775283251818129
CrackerBox,74,4,True,0.28327203083560737
CrackerBox,17,1,True,0.31962945128090664
CrackerBox,100,55,False,0.3720936094846693
CrackerBox,100,28,False,0.3339093929074082
CrackerBox,19,1,True,0.34970443507053434
CrackerBox,12,6,True,0.3590196491564342
CrackerBox,100,60,False,0.33388174635041296
CrackerBox,9,1,True,0.3529923543200775
FoamBrick,100,26,False,0.21326266269130695
FoamBrick,100,67,False,0.3590496266696132
FoamBrick,100,44,False,0.2784751899649935
FoamBrick,100,80,False,0.22942980975627367
FoamBrick,100,37,False,0.21671435506136708
FoamBrick,100,51,False,0.2103337379168713
FoamBrick,100,63,False,0.19694890803788861
FoamBrick,100,53,False,0.2820060119908342
FoamBrick,100,62,False,0.19871400707773218
FoamBrick,100,93,False,0.45104805851122065
TennisBall,100,69,False,0.30203257729647465
TennisBall,100,55,False,0.3373086218693999
TennisBall,100,62,False,0.2712396291021004
TennisBall,100,43,False,0.2456680679236257
TennisBall,100,26,False,0.24351812506973897
TennisBall,100,4,False,0.33560299196779764
TennisBall,100,55,False,0.37443350576752416
TennisBall,100,39,False,0.3928372519146368
TennisBall,100,77,False,0.4482930313314461
TennisBall,100,7,False,0.352725308672193
